Time(s),Index,RPM,Throttle(%),AccelX,AccelY,AccelZ,Current(A),Voltage(V),Thrust(N),Power(W)
0.000,993,600,0,509,384,257,0.043,11.70,3093.00,0.50
0.002,994,600,0,510,385,257,0.102,11.72,3092.00,1.20
0.004,995,600,0,511,385,257,0.073,11.72,3091.00,0.86
0.006,996,600,0,511,386,255,0.102,11.73,3091.00,1.20
0.008,997,600,0,512,385,257,0.073,11.72,3092.00,0.86
0.010,998,600,0,512,384,256,0.073,11.71,3090.00,0.85
0.012,999,600,0,510,386,255,0.073,11.71,3091.00,0.85
0.014,1000,600,0,512,387,257,0.087,11.73,3092.00,1.02
0.016,1001,600,0,509,384,256,0.029,11.70,3092.00,0.34
0.018,1002,600,0,511,385,255,0.102,11.71,3091.00,1.19
0.020,1003,600,0,510,386,257,0.102,11.73,3092.00,1.20
0.022,1004,600,0,511,386,256,0.087,11.73,3091.00,1.02
0.024,1005,600,0,512,385,257,0.073,11.71,3093.00,0.85
0.026,1006,600,0,510,385,257,0.087,11.71,3092.00,1.02
0.028,1007,600,0,510,385,255,0.073,11.71,3092.00,0.85
0.030,1008,600,0,510,385,257,0.073,11.72,3092.00,0.86
0.032,1009,600,0,511,385,257,0.043,11.70,3091.00,0.50
0.034,1010,600,0,510,384,255,0.073,11.71,3092.00,0.85
0.036,1011,600,0,512,387,255,0.102,11.73,3093.00,1.20
0.038,1012,600,0,510,386,257,0.073,11.72,3093.00,0.86
0.040,1013,600,0,511,386,258,0.087,11.71,3091.00,1.02
0.042,1014,600,0,510,385,257,0.087,11.73,3092.00,1.02
0.044,1015,600,0,510,385,257,0.087,11.72,3094.00,1.02
0.046,1016,600,0,511,385,256,0.058,11.70,3090.00,0.68
0.048,1017,600,0,509,384,256,0.073,11.71,3092.00,0.85
0.050,1018,600,0,512,387,256,0.102,11.72,3094.00,1.20
0.052,1019,600,0,512,385,256,0.043,11.70,3090.00,0.50
0.054,1020,600,0,508,384,255,0.058,11.70,3092.00,0.68
0.056,1021,600,0,512,387,257,0.102,11.72,3091.00,1.20
