Time(s),Index,RPM,Throttle(%),AccelX,AccelY,AccelZ,Current(A),Voltage(V),Thrust(g.f),Power(W)
5.082,15002,0,0,2007,1998,2498,0.197,12.18,208.00,2.40
5.082,15003,0,0,2007,1997,2499,0.205,12.18,205.00,2.50
5.082,15004,0,0,2008,1998,2498,0.205,12.18,208.00,2.50
5.082,15005,0,0,2009,2000,2498,0.197,12.17,208.00,2.40
5.082,15006,0,0,2007,1999,2497,0.205,12.18,208.00,2.50
5.082,15007,0,0,2008,1999,2498,0.205,12.18,208.00,2.50
5.083,15008,0,0,2008,1999,2498,0.190,12.16,206.00,2.31
5.083,15009,0,0,2008,1999,2499,0.197,12.18,208.00,2.40
5.083,15010,0,0,2008,1998,2498,0.197,12.19,208.00,2.40
5.083,15011,0,0,2008,1999,2498,0.197,12.19,208.00,2.40
5.083,15012,0,0,2008,1999,2498,0.205,12.18,208.00,2.50
5.083,15013,0,0,2007,1998,2499,0.197,12.18,206.00,2.40
5.083,15014,0,0,2008,1999,2498,0.197,12.18,206.00,2.40
5.083,15015,0,0,2007,1999,2498,0.197,12.18,206.00,2.40
5.083,15016,0,0,2007,1998,2498,0.197,12.17,206.00,2.40
5.083,15017,0,0,2007,1998,2498,0.197,12.18,208.00,2.40
5.083,15018,0,0,2007,1999,2497,0.205,12.19,209.00,2.50
5.083,15019,0,0,2007,1999,2496,0.197,12.18,211.00,2.40
5.084,15020,0,0,2007,1998,2497,0.197,12.18,211.00,2.40
5.084,15021,0,0,2007,1998,2497,0.197,12.19,208.00,2.40
5.086,15022,0,0,2007,1999,2497,0.190,12.18,209.00,2.31
5.086,15023,0,0,2008,1999,2497,0.197,12.18,208.00,2.40
5.086,15024,0,0,2008,2000,2498,0.205,12.18,208.00,2.50
5.086,15025,0,0,2009,2000,2498,0.197,12.18,208.00,2.40
5.086,15026,0,0,2008,2000,2498,0.190,12.18,208.00,2.31
5.086,15027,0,0,2009,2001,2498,0.197,12.18,208.00,2.40
5.086,15028,0,0,2007,1999,2498,0.197,12.17,208.00,2.40
5.086,15029,0,0,2007,1999,2496,0.205,12.19,209.00,2.50
