Time(s),Index,RPM,Throttle(%),AccelX,AccelY,AccelZ,Current(A),Voltage(V),Thrust(N),Power(W)
0.000,4473,0,0,2018,2003,2497,0.031,1.44,19.87,0.04
0.002,4474,0,0,2017,2003,2496,0.030,1.44,19.87,0.04
0.004,4475,0,0,2017,2002,2496,0.031,1.44,19.87,0.04
0.006,4476,0,0,2018,2004,2497,0.031,1.44,19.87,0.04
0.008,4477,0,0,2017,2004,2496,0.031,1.44,19.86,0.04
0.010,4478,0,0,2017,2002,2496,0.030,1.44,19.86,0.04
0.012,4479,0,0,2018,2004,2497,0.030,1.44,19.88,0.04
0.014,4480,0,0,2017,2003,2497,0.031,1.44,19.86,0.04
0.016,4481,0,0,2016,2003,2498,0.030,1.44,19.88,0.04
0.018,4482,0,0,2016,2003,2496,0.031,1.44,19.86,0.04
0.020,4483,0,0,2017,2002,2497,0.030,1.44,19.87,0.04
0.022,4484,0,0,2017,2003,2496,0.030,1.44,19.86,0.04
0.024,4485,0,0,2017,2002,2496,0.031,1.44,19.87,0.04
0.026,4486,0,0,2018,2004,2496,0.030,1.44,19.86,0.04
0.028,4487,0,0,2017,2003,2497,0.032,1.44,19.88,0.05
0.030,4488,0,0,2017,2003,2496,0.032,1.44,19.86,0.05
0.032,4489,0,0,2018,2003,2497,0.031,1.44,19.88,0.04
0.034,4490,0,0,2017,2004,2496,0.031,1.44,19.86,0.04
0.036,4491,0,0,2018,2003,2497,0.030,1.44,19.88,0.04
0.038,4492,0,0,2017,2002,2496,0.030,1.44,19.87,0.04
0.040,4493,0,0,2017,2002,2496,0.031,1.44,19.86,0.04
0.042,4494,0,0,2017,2002,2495,0.031,1.44,19.86,0.04
0.044,4495,0,0,2019,2005,2496,0.031,1.44,19.86,0.04
0.046,4496,0,0,2019,2004,2496,0.030,1.44,19.87,0.04
0.048,4497,0,0,2018,2004,2497,0.030,1.44,19.87,0.04
0.050,4498,0,0,2018,2003,2496,0.031,1.44,19.86,0.04
0.052,4499,0,0,2018,2004,2496,0.031,1.44,19.87,0.04
0.054,4500,0,0,2017,2004,2496,0.032,1.44,19.87,0.05
0.056,4501,0,0,2018,2004,2496,0.032,1.44,19.86,0.05
0.058,4502,0,0,2017,2004,2496,0.031,1.44,19.86,0.04
