Time(s),Index,RPM,Throttle(%),AccelX,AccelY,AccelZ,Current(A),Voltage(V),Thrust(N),Power(W)
0.000,20002,0,0,94,117,127,1.890,0.98,0.85,1.85
0.002,20003,0,0,109,121,126,1.934,1.08,1.24,2.08
0.004,20004,0,0,125,126,144,1.978,1.04,1.27,2.07
0.006,20005,0,0,137,135,134,1.904,1.11,1.33,2.11
0.008,20006,0,0,160,133,136,2.065,1.48,1.84,3.05
0.010,20007,0,0,255,244,261,3.780,2.06,2.59,7.80
0.012,20008,0,0,245,237,244,3.589,2.02,2.54,7.26
0.014,20009,0,0,207,187,194,3.047,1.86,2.19,5.66
0.016,20010,0,0,94,111,135,1.860,1.01,1.13,1.88
0.018,20011,0,0,113,119,134,1.904,1.03,1.15,1.96
0.020,20012,0,0,115,129,139,1.919,1.05,1.25,2.02
0.022,20013,0,0,130,141,134,1.992,1.10,1.32,2.19
0.024,20014,0,0,151,132,144,2.051,1.23,1.61,2.52
0.026,20015,0,0,256,248,260,3.677,2.07,2.60,7.62
0.028,20016,0,0,260,250,243,3.706,2.06,2.54,7.65
0.030,20017,0,0,236,215,242,3.575,2.01,2.48,7.20
0.032,20018,0,0,101,104,127,1.728,0.96,1.13,1.66
0.034,20019,0,0,109,116,128,1.860,1.06,1.21,1.97
0.036,20020,0,0,122,122,135,1.875,1.03,1.29,1.94
0.038,20021,0,0,125,128,132,1.904,1.08,1.35,2.06
0.040,20022,0,0,141,132,133,2.007,1.10,1.44,2.21
0.042,20023,0,0,261,240,250,3.677,2.10,2.59,7.74
0.044,20024,0,0,256,239,258,3.794,2.08,2.58,7.89
0.046,20025,0,0,237,231,248,3.545,2.01,2.55,7.14
0.048,20026,0,0,113,118,132,1.904,1.05,1.24,2.00
0.050,20027,0,0,106,115,127,1.758,1.01,1.19,1.78
0.052,20028,0,0,2,59,101,1.802,0.00,0.00,0.00
0.054,20029,0,0,127,126,141,1.978,1.05,1.35,2.08
0.056,20030,0,0,136,136,135,1.875,1.05,1.32,1.97
0.058,20031,0,0,253,238,248,3.692,2.06,2.55,7.59
0.060,20032,4500,0,253,249,253,3.721,2.11,2.56,7.86
0.062,20033,4500,0,245,241,240,3.633,2.04,2.49,7.41
0.064,20034,4500,0,198,182,192,2.989,1.82,2.19,5.43
0.066,20035,4500,0,94,107,126,1.846,0.98,1.11,1.81
0.068,20036,4500,0,0,42,74,1.743,0.00,0.00,0.00
0.070,20037,4500,0,111,130,130,1.904,1.08,1.20,2.06
0.072,20038,4500,0,133,127,135,2.021,1.09,1.33,2.21
0.074,20039,4500,0,248,181,185,2.593,2.07,2.53,5.37
0.076,20040,4500,0,255,247,256,3.750,2.10,2.60,7.89
0.078,20041,4500,0,255,240,252,3.589,2.05,2.54,7.35
0.080,20042,4500,0,189,209,231,3.633,1.65,1.91,5.98
0.082,20043,4500,0,102,106,128,1.948,1.08,1.08,2.11
0.084,20044,4500,0,0,15,16,0.688,0.00,0.00,0.00
0.086,20045,4500,0,0,0,0,0.000,0.00,0.00,0.00
0.088,20046,4500,1,16,33,49,1.040,0.18,0.13,0.19
0.090,20047,4500,1,149,137,135,1.978,1.14,1.50,2.26
0.092,20048,4500,1,244,188,193,2.710,2.10,2.56,5.68
0.094,20049,4500,1,254,245,255,3.648,2.07,2.62,7.56
0.096,20050,4500,1,238,229,246,3.589,1.97,2.55,7.08
0.098,20051,4500,1,118,121,121,1.904,1.07,1.22,2.03
0.100,20052,4500,1,0,55,91,1.772,0.00,0.00,0.00
0.102,20053,4500,1,0,39,66,1.538,0.00,0.00,0.00
0.104,20054,4500,1,71,107,133,1.890,0.55,0.61,1.03
0.106,20055,4500,1,137,143,135,2.021,1.14,1.32,2.31
0.108,20056,4500,1,206,160,148,1.934,2.10,2.51,4.07
0.110,20057,4500,1,257,247,247,3.648,2.07,2.54,7.56
0.112,20058,4500,1,246,230,256,3.575,2.01,2.53,7.20
0.114,20059,4500,1,192,169,156,2.300,1.73,1.99,3.98
0.116,20060,4500,1,81,103,131,1.919,0.99,0.96,1.91
0.118,20061,4500,1,102,116,128,1.831,1.08,1.17,1.97
0.120,20062,4500,1,101,117,134,1.846,1.03,1.19,1.91
0.122,20063,4500,1,131,139,135,1.948,1.09,1.31,2.13
0.124,20064,4500,1,151,133,140,1.978,1.26,1.67,2.48
0.126,20065,4500,1,258,255,247,3.633,2.05,2.57,7.44
0.128,20066,4500,1,256,244,256,3.604,1.97,2.59,7.11
0.130,20067,4500,1,227,215,237,3.384,1.97,2.37,6.68
0.132,20068,4500,1,101,102,130,1.948,0.99,1.09,1.92
0.134,20069,4500,1,88,114,124,1.831,1.05,1.07,1.93
0.136,20070,4500,1,7,71,114,1.890,0.00,0.00,0.00
0.138,20071,4500,1,133,127,142,1.919,1.11,1.29,2.13
0.140,20072,4500,1,139,128,141,2.007,1.11,1.41,2.23
0.142,20073,4500,1,259,247,264,3.736,2.11,2.60,7.89
0.144,20074,4500,1,255,248,252,3.706,2.07,2.62,7.68
0.146,20075,4500,1,245,225,245,3.531,1.97,2.45,6.94
0.148,20076,4500,1,116,111,129,1.963,1.07,1.21,2.10
0.150,20077,4500,1,78,112,129,1.860,0.91,0.89,1.70
0.152,20078,4500,1,0,55,96,1.875,0.00,0.00,0.00
0.154,20079,4500,1,128,131,145,2.080,1.12,1.26,2.34
0.156,20080,4500,1,135,139,133,1.963,1.06,1.29,2.08
0.158,20081,4500,1,260,250,241,3.706,2.10,2.59,7.77
0.160,20082,7500,1,255,252,250,3.663,2.06,2.64,7.56
0.162,20083,7500,1,241,227,247,3.619,2.06,2.48,7.47
0.164,20084,7500,1,122,119,130,1.875,1.05,1.23,1.97
0.166,20085,7500,1,76,98,134,1.846,0.95,0.90,1.76
0.168,20086,7500,1,0,39,60,1.567,0.00,0.00,0.00
0.170,20087,7500,2,34,84,126,1.919,0.02,0.09,0.05
0.172,20088,7500,2,130,136,141,2.021,1.09,1.32,2.21
0.174,20089,7500,2,255,203,222,3.369,2.10,2.57,7.06
0.176,20090,7500,2,256,253,255,3.663,2.08,2.58,7.62
0.178,20091,7500,2,254,243,256,3.619,2.09,2.54,7.56
0.180,20092,7500,2,188,208,219,3.399,1.57,1.82,5.32
0.182,20093,7500,2,87,98,130,1.890,0.99,1.05,1.86
0.184,20094,7500,2,0,4,0,0.307,0.00,0.00,0.00
0.186,20095,7500,2,0,0,0,0.000,0.00,0.00,0.00
0.188,20096,7500,2,21,37,62,1.201,0.20,0.20,0.24
0.190,20097,7500,2,139,129,129,1.934,1.10,1.42,2.13
0.192,20098,7500,2,253,204,223,3.369,2.07,2.60,6.98
0.194,20099,7500,2,257,254,247,3.750,2.06,2.59,7.71
0.196,20100,7500,2,236,227,251,3.648,2.00,2.55,7.29
0.198,20101,7500,2,119,114,129,1.860,1.07,1.19,1.99
0.200,20102,7500,2,0,38,74,1.611,0.00,0.00,0.00
0.202,20103,7500,2,0,0,0,0.000,0.00,0.00,0.00
0.204,20104,7500,2,0,5,7,0.117,0.00,0.00,0.00
0.206,20105,7500,2,133,136,133,2.036,1.13,1.35,2.31
0.208,20106,7500,2,207,164,148,2.065,2.06,2.49,4.24
0.210,20107,7500,2,258,244,258,3.721,2.08,2.56,7.74
0.212,20108,7500,2,253,233,242,3.589,2.06,2.54,7.38
0.214,20109,7500,2,192,165,147,2.124,1.67,1.96,3.55
0.216,20110,7500,2,79,107,126,1.787,0.95,0.86,1.70
0.218,20111,7500,2,110,112,127,1.919,1.06,1.23,2.03
0.220,20112,7500,2,110,126,138,1.846,1.03,1.23,1.91
0.222,20113,7500,2,132,138,131,2.021,1.12,1.33,2.26
0.224,20114,7500,2,155,137,140,1.919,1.35,1.77,2.60
0.226,20115,7500,2,257,251,247,3.589,2.07,2.54,7.43
0.228,20116,7500,2,256,244,257,3.692,2.06,2.59,7.62
0.230,20117,7500,2,237,207,219,3.545,1.91,2.42,6.76
0.232,20118,7500,2,93,111,130,1.904,1.04,1.07,1.99
0.234,20119,7500,2,87,119,128,1.890,1.03,1.01,1.94
0.236,20120,7500,2,14,70,115,1.963,0.00,0.00,0.00
0.238,20121,7500,2,129,130,135,1.963,1.09,1.36,2.14
0.240,20122,7500,2,137,130,135,1.919,1.08,1.40,2.06
0.242,20123,7500,2,255,251,252,3.721,2.09,2.59,7.77
0.244,20124,7500,2,255,250,247,3.765,2.06,2.63,7.77
0.246,20125,7500,2,234,221,252,3.619,2.00,2.57,7.23
0.248,20126,7500,2,109,111,126,1.934,0.96,1.12,1.86
0.250,20127,7500,2,86,103,125,1.816,0.99,1.04,1.79
0.252,20128,7500,2,0,54,96,1.904,0.00,0.00,0.00
0.254,20129,7500,3,128,128,142,1.978,1.08,1.30,2.13
0.256,20130,7500,3,127,141,131,1.919,1.06,1.29,2.03
0.258,20131,7500,3,247,245,252,3.531,2.01,2.56,7.11
0.260,20132,7500,3,256,250,260,3.706,2.07,2.53,7.68
0.262,20133,7500,3,243,230,256,3.531,1.97,2.57,6.94
0.264,20134,7500,3,125,124,132,1.846,1.01,1.22,1.87
0.266,20135,7500,3,100,106,128,1.860,0.98,1.14,1.82
0.268,20136,7500,3,0,52,95,1.919,0.00,0.00,0.00
0.270,20137,7500,3,187,133,139,1.934,1.09,1.42,2.11
0.272,20138,7500,3,128,135,141,1.904,1.11,1.31,2.11
0.274,20139,7500,3,249,199,211,3.164,2.06,2.55,6.50
0.276,20140,7500,3,255,247,261,3.736,2.06,2.63,7.71
0.278,20141,7500,3,251,248,256,3.677,2.03,2.56,7.46
0.280,20142,7500,3,191,200,224,3.545,1.54,1.85,5.46
0.282,20143,7500,3,108,108,130,1.860,1.01,1.19,1.88
0.284,20144,7500,3,0,35,51,1.362,0.00,0.00,0.00
0.286,20145,7500,3,33,78,122,1.831,0.00,0.02,0.00
