Time(s),Index,RPM,Throttle(%),AccelX,AccelY,AccelZ,Current(A),Voltage(V),Thrust(N),Power(W)
0.000,10002,5625,0,81,100,128,1.860,0.95,0.94,1.77
0.002,10003,3750,0,89,111,128,1.860,1.07,1.07,1.99
0.004,10004,4234,0,0,0,0,0.000,0.00,0.00,0.00
0.006,10005,4719,0,128,128,137,1.890,1.11,1.30,2.10
0.008,10006,6594,0,138,132,133,1.919,1.08,1.33,2.06
0.010,10007,8468,0,251,250,257,3.692,2.06,2.56,7.62
0.012,10008,7984,0,255,245,254,3.721,2.06,2.58,7.68
0.014,10009,7499,0,243,222,236,3.545,2.01,2.42,7.14
0.016,10010,7499,0,102,101,126,1.831,0.98,1.13,1.79
0.018,10011,7499,0,88,104,124,1.787,1.00,1.03,1.79
0.020,10012,7499,0,0,0,0,0.000,0.00,0.00,0.00
0.022,10013,7499,0,124,126,133,1.904,1.10,1.28,2.10
0.024,10014,7499,0,131,126,137,1.948,1.09,1.40,2.13
0.026,10015,7500,0,256,247,250,3.721,2.10,2.54,7.80
0.028,10016,7500,0,252,247,253,3.619,2.13,2.59,7.70
0.030,10017,7500,0,247,239,239,3.633,2.02,2.48,7.35
0.032,10018,7500,0,123,120,122,1.802,1.02,1.24,1.84
0.034,10019,7500,0,84,99,126,1.758,1.01,0.99,1.78
0.036,10020,7500,0,0,0,0,0.000,0.00,0.00,0.00
0.038,10021,7500,0,0,0,0,0.000,0.00,0.00,0.00
0.040,10022,7499,0,41,47,69,1.304,0.46,0.45,0.59
0.042,10023,7499,0,255,243,258,3.706,2.11,2.57,7.83
0.044,10024,7498,0,253,252,256,3.750,2.09,2.57,7.83
0.046,10025,7498,0,251,243,251,3.677,2.04,2.52,7.50
0.048,10026,7498,0,128,126,128,1.846,1.03,1.27,1.91
0.050,10027,7499,0,92,103,133,1.802,0.95,1.05,1.72
0.052,10028,7499,0,0,0,0,0.000,0.00,0.00,0.00
0.054,10029,7499,0,0,0,0,0.000,0.00,0.00,0.00
0.056,10030,7499,0,3,7,6,0.029,0.00,0.00,0.00
0.058,10031,7499,0,159,137,143,1.992,1.40,1.71,2.79
0.060,10032,7499,0,167,138,134,2.051,1.45,1.84,2.98
0.062,10033,7500,0,253,240,247,3.633,2.05,2.59,7.44
0.064,10034,7500,0,163,129,140,1.890,1.80,1.95,3.41
0.066,10035,7499,0,109,107,115,1.875,1.02,1.18,1.91
0.068,10036,7499,0,0,0,0,0.000,0.00,0.00,0.00
0.070,10037,7499,0,0,0,0,0.000,0.00,0.00,0.00
0.072,10038,7499,0,0,1,0,0.000,0.00,0.00,0.00
0.074,10039,7499,0,130,131,139,1.948,1.09,1.31,2.13
0.076,10040,7498,0,156,128,132,2.007,1.27,1.73,2.55
0.078,10041,7498,0,252,242,258,3.589,2.05,2.58,7.35
0.080,10042,7498,0,251,237,241,3.487,1.98,2.52,6.91
0.082,10043,7499,0,141,127,129,1.875,1.12,1.43,2.09
0.084,10044,7500,0,0,0,0,0.000,0.00,0.00,0.00
0.086,10045,7501,0,0,0,0,0.000,0.00,0.00,0.00
0.088,10046,7500,1,0,0,0,0.000,0.00,0.00,0.00
0.090,10047,7500,1,131,133,139,2.007,1.11,1.33,2.23
0.092,10048,7499,1,229,157,146,1.890,2.10,2.55,3.96
0.094,10049,7499,1,257,253,249,3.750,2.12,2.52,7.95
0.096,10050,7499,1,253,235,247,3.575,1.99,2.58,7.11
0.098,10051,7499,1,229,196,213,3.252,1.90,2.44,6.18
0.100,10052,7499,1,17,50,83,1.582,0.00,0.00,0.00
0.102,10053,7499,1,0,44,71,1.641,0.00,0.00,0.00
0.104,10054,7500,1,0,0,0,0.000,0.00,0.00,0.00
0.106,10055,7500,1,128,129,138,1.890,1.08,1.27,2.05
0.108,10056,7500,1,140,134,129,1.978,1.08,1.41,2.13
0.110,10057,7500,1,253,244,251,3.604,2.08,2.65,7.49
0.112,10058,7500,1,253,246,259,3.677,2.07,2.57,7.62
0.114,10059,7499,1,246,221,247,3.589,2.01,2.49,7.20
0.116,10060,7499,1,110,105,124,1.816,1.01,1.19,1.84
0.118,10061,7499,1,79,100,125,1.787,0.94,0.90,1.67
0.120,10062,7498,1,0,0,0,0.000,0.00,0.00,0.00
0.122,10063,7498,1,70,115,133,1.948,0.54,0.57,1.05
0.124,10064,7498,1,135,139,135,1.904,1.06,1.30,2.02
0.126,10065,7499,1,257,247,249,3.648,2.10,2.59,7.65
0.128,10066,7500,1,255,256,252,3.589,2.11,2.58,7.58
0.130,10067,7501,1,249,228,256,3.575,2.07,2.54,7.40
0.132,10068,7500,1,115,118,129,1.860,1.01,1.21,1.88
0.134,10069,7499,1,73,105,115,1.890,0.86,0.78,1.63
0.136,10070,7498,1,0,0,0,0.000,0.00,0.00,0.00
0.138,10071,7498,1,0,0,0,0.000,0.00,0.00,0.00
0.140,10072,7498,1,25,31,46,0.849,0.29,0.31,0.25
0.142,10073,7499,1,260,213,237,3.399,2.08,2.57,7.07
0.144,10074,7499,1,259,250,254,3.692,2.09,2.56,7.71
0.146,10075,7500,1,255,246,250,3.721,2.07,2.55,7.71
0.148,10076,7500,1,125,124,124,1.890,1.05,1.28,1.99
0.150,10077,7499,1,90,106,114,1.802,0.98,0.93,1.76
0.152,10078,7499,1,0,0,0,0.000,0.00,0.00,0.00
0.154,10079,7499,1,0,0,0,0.000,0.00,0.00,0.00
0.156,10080,7500,1,1,6,2,0.000,0.00,0.00,0.00
0.158,10081,7500,1,180,151,134,1.948,1.92,2.11,3.73
0.160,10082,7500,1,171,145,135,1.904,1.55,1.99,2.95
0.162,10083,7500,1,255,251,252,3.663,2.06,2.58,7.53
0.164,10084,7500,1,200,133,122,1.978,2.00,2.29,3.95
0.166,10085,7500,1,108,116,127,1.875,1.03,1.19,1.93
0.168,10086,7499,1,0,0,0,0.000,0.00,0.00,0.00
0.170,10087,7499,2,0,0,0,0.000,0.00,0.00,0.00
0.172,10088,7499,2,0,0,0,0.000,0.00,0.00,0.00
0.174,10089,7499,2,130,132,141,1.992,1.11,1.38,2.21
0.176,10090,7500,2,149,131,131,1.992,1.15,1.51,2.29
0.178,10091,7501,2,260,248,262,3.677,2.08,2.65,7.64
0.180,10092,7501,2,246,227,249,3.589,2.00,2.55,7.17
0.182,10093,7500,2,157,133,133,1.875,1.26,1.60,2.35
0.184,10094,7499,2,0,0,0,0.000,0.00,0.00,0.00
0.186,10095,7499,2,0,0,0,0.000,0.00,0.00,0.00
0.188,10096,7499,2,0,0,0,0.000,0.00,0.00,0.00
0.190,10097,7499,2,130,127,136,1.948,1.06,1.31,2.06
0.192,10098,7499,2,229,161,143,1.890,2.10,2.51,3.96
0.194,10099,7499,2,255,253,253,3.633,2.10,2.65,7.64
0.196,10100,7499,2,254,244,246,3.677,1.97,2.54,7.25
0.198,10101,7500,2,220,201,220,3.472,1.93,2.34,6.71
0.200,10102,7500,2,35,66,96,1.714,0.03,0.10,0.05
0.202,10103,7500,2,15,67,99,1.802,0.00,0.00,0.00
0.204,10104,7499,2,0,0,0,0.000,0.00,0.00,0.00
0.206,10105,7499,2,130,127,134,1.875,1.04,1.30,1.96
0.208,10106,7499,2,143,134,131,1.978,1.10,1.43,2.18
0.210,10107,7499,2,256,247,256,3.706,2.05,2.54,7.59
0.212,10108,7500,2,254,249,257,3.619,2.05,2.76,7.41
0.214,10109,7500,2,246,228,253,3.501,2.01,2.44,7.02
0.216,10110,7499,2,110,109,124,1.758,1.04,1.08,1.84
0.218,10111,7499,2,80,101,127,1.846,0.95,0.88,1.76
0.220,10112,7499,2,0,0,0,0.000,0.00,0.00,0.00
0.222,10113,7499,2,36,83,130,1.875,0.07,0.13,0.12
0.224,10114,7499,2,131,126,131,1.919,1.10,1.34,2.11
