Time(s),Index,RPM,Throttle(%),AccelX,AccelY,AccelZ,Current(A),Voltage(V),Thrust(N),Power(W)
0.000,1,0,0,1988,2027,2495,0.205,15.39,209.00,3.15
0.002,2,0,0,1987,2027,2495,0.212,15.40,209.00,3.26
0.004,3,0,0,1990,2029,2495,0.205,15.39,209.00,3.15
0.006,4,0,0,1987,2026,2496,0.212,15.40,209.00,3.26
0.008,5,0,0,1987,2027,2494,0.219,15.40,211.00,3.37
0.010,6,0,0,1988,2027,2495,0.212,15.40,209.00,3.26
0.012,7,0,0,1988,2028,2495,0.205,15.39,211.00,3.15
0.014,8,0,0,1987,2026,2495,0.205,15.39,209.00,3.15
0.016,9,0,0,1988,2027,2494,0.227,15.40,211.00,3.50
0.018,10,0,0,1988,2028,2496,0.212,15.39,209.00,3.26
0.020,11,0,0,1989,2028,2495,0.212,15.39,209.00,3.26
0.022,12,0,0,1988,2028,2495,0.205,15.40,209.00,3.16
0.024,13,0,0,1988,2027,2495,0.212,15.40,209.00,3.26
0.026,14,0,0,1987,2026,2496,0.212,15.40,208.00,3.26
0.028,15,0,0,1988,2028,2494,0.212,15.40,211.00,3.26
0.030,16,0,0,1988,2027,2495,0.205,15.40,209.00,3.16
0.032,17,0,0,1988,2027,2495,0.205,15.39,211.00,3.15
0.034,18,0,0,1987,2027,2495,0.205,15.39,209.00,3.15
0.036,19,0,0,1988,2028,2495,0.212,15.39,211.00,3.26
0.038,20,0,0,1988,2027,2495,0.212,15.40,209.00,3.26
0.040,21,0,0,1988,2028,2495,0.219,15.40,209.00,3.37
0.042,22,0,0,1988,2027,2496,0.205,15.39,209.00,3.15
0.044,23,0,0,1988,2027,2496,0.212,15.40,208.00,3.26
0.046,24,0,0,1987,2026,2496,0.205,15.39,209.00,3.15
0.048,25,0,0,1987,2026,2496,0.212,15.39,208.00,3.26
0.050,26,0,0,1988,2027,2495,0.205,15.39,211.00,3.15
0.052,27,0,0,1987,2027,2494,0.205,15.39,212.00,3.15
0.054,28,0,0,1987,2027,2495,0.205,15.39,211.00,3.15
0.056,29,0,0,1987,2026,2494,0.212,15.40,211.00,3.26
0.058,30,0,0,1988,2029,2495,0.205,15.39,209.00,3.15
0.060,31,0,0,1987,2028,2495,0.219,15.40,209.00,3.37
0.062,32,0,0,1988,2028,2494,0.212,15.39,211.00,3.26
0.064,33,0,0,1987,2026,2495,0.212,15.40,208.00,3.26
0.066,34,0,0,1987,2027,2496,0.212,15.40,208.00,3.26
0.068,35,0,0,1988,2027,2495,0.212,15.40,208.00,3.26
0.070,36,0,0,1987,2026,2495,0.205,15.39,209.00,3.15
0.072,37,0,0,1987,2026,2495,0.212,15.40,211.00,3.26
0.074,38,0,0,1987,2027,2494,0.212,15.40,211.00,3.26
0.076,39,0,1,1987,2026,2495,0.205,15.39,209.00,3.15
0.078,40,0,1,1988,2028,2495,0.212,15.40,209.00,3.26
0.080,41,0,1,1986,2026,2494,0.212,15.39,211.00,3.26
0.082,42,0,1,1990,2029,2495,0.212,15.39,209.00,3.26
0.084,43,0,1,1989,2029,2495,0.212,15.40,209.00,3.26
0.086,44,0,1,1989,2028,2495,0.212,15.39,209.00,3.26
0.088,45,0,1,1989,2029,2495,0.205,15.39,209.00,3.15
0.090,46,0,1,1988,2027,2494,0.219,15.40,211.00,3.37
0.092,47,0,1,1988,2027,2494,0.219,15.40,211.00,3.37
0.094,48,0,1,1988,2028,2494,0.219,15.41,211.00,3.37
0.096,49,0,1,1988,2028,2494,0.219,15.40,211.00,3.37
0.098,50,0,1,1988,2028,2495,0.205,15.40,211.00,3.16
0.100,51,0,1,1989,2027,2495,0.219,15.40,209.00,3.37
0.102,52,0,1,1988,2027,2496,0.212,15.40,208.00,3.26
0.104,53,0,1,1987,2027,2496,0.212,15.40,208.00,3.26
0.106,54,0,1,1987,2026,2495,0.212,15.40,209.00,3.26
0.108,55,0,1,1987,2026,2494,0.205,15.40,211.00,3.16
0.110,56,0,1,1987,2026,2494,0.212,15.39,211.00,3.26
0.112,57,0,1,1987,2026,2495,0.212,15.39,209.00,3.26
0.114,58,0,1,1988,2027,2495,0.205,15.39,211.00,3.15
0.116,59,0,1,1989,2029,2495,0.212,15.39,209.00,3.26
0.118,60,0,1,1988,2028,2496,0.212,15.40,209.00,3.26
0.120,61,0,1,1988,2027,2495,0.219,15.39,211.00,3.37
0.122,62,0,1,1987,2026,2496,0.212,15.40,208.00,3.26
0.124,63,0,1,1987,2026,2496,0.212,15.40,208.00,3.26
0.126,64,0,1,1987,2026,2494,0.212,15.40,211.00,3.26
0.128,65,0,1,1988,2027,2495,0.212,15.39,211.00,3.26
0.130,66,0,1,1987,2027,2495,0.205,15.39,211.00,3.15
0.132,67,0,1,1988,2027,2495,0.212,15.40,212.00,3.26
0.134,68,0,1,1990,2028,2496,0.212,15.39,209.00,3.26
0.136,69,0,1,1988,2027,2496,0.205,15.40,209.00,3.16
0.138,70,0,1,1988,2027,2495,0.212,15.40,209.00,3.26
0.140,71,0,1,1988,2026,2496,0.219,15.40,208.00,3.37
0.142,72,0,1,1987,2026,2495,0.212,15.40,209.00,3.26
0.144,73,0,1,1988,2028,2496,0.212,15.39,209.00,3.26
0.146,74,0,1,1989,2029,2495,0.212,15.39,209.00,3.26
0.148,75,0,1,1988,2028,2495,0.219,15.40,211.00,3.37
0.150,76,0,1,1988,2027,2496,0.212,15.41,209.00,3.27
0.152,77,0,2,1988,2027,2495,0.219,15.40,211.00,3.37
0.154,78,0,2,1988,2027,2496,0.212,15.40,209.00,3.26
0.156,79,0,2,1988,2026,2494,0.212,15.40,211.00,3.26
0.158,80,0,2,1988,2027,2496,0.212,15.40,209.00,3.26
0.160,81,0,2,1988,2027,2495,0.212,15.39,209.00,3.26
0.162,82,0,2,1988,2028,2495,0.219,15.40,211.00,3.37
0.164,83,0,2,1988,2027,2496,0.205,15.39,208.00,3.15
0.166,84,0,2,1988,2027,2496,0.205,15.39,209.00,3.15
0.168,85,0,2,1989,2028,2495,0.219,15.40,211.00,3.37
0.170,86,0,2,1988,2027,2496,0.212,15.40,209.00,3.26
0.172,87,0,2,1988,2027,2495,0.219,15.40,211.00,3.37
0.174,88,0,2,1989,2028,2495,0.205,15.39,211.00,3.15
0.176,89,0,2,1987,2027,2496,0.212,15.40,209.00,3.26
0.178,90,0,2,1989,2028,2495,0.205,15.39,209.00,3.15
0.180,91,0,2,1988,2027,2496,0.205,15.39,209.00,3.15
0.182,92,0,2,1988,2027,2496,0.212,15.40,209.00,3.26
0.184,93,0,2,1988,2027,2496,0.212,15.39,208.00,3.26
0.186,94,0,2,1987,2027,2494,0.212,15.40,211.00,3.26
0.188,95,0,2,1988,2028,2495,0.219,15.40,211.00,3.37
0.190,96,0,2,1988,2028,2495,0.212,15.40,208.00,3.26
0.192,97,0,2,1988,2027,2496,0.205,15.39,209.00,3.15
0.194,98,0,2,1988,2028,2495,0.212,15.40,209.00,3.26
0.196,99,0,2,1987,2027,2496,0.205,15.39,208.00,3.15
0.198,100,0,2,1990,2029,2496,0.212,15.39,209.00,3.26
