Time(s),Index,RPM,Throttle(%),AccelX,AccelY,AccelZ,Current(A),Voltage(V),Thrust(N),Power(W)
0.000,1,0,0,2008,1998,2494,0.234,12.30,2377.00,2.88
0.002,2,0,0,2006,1997,2496,0.227,12.28,2374.00,2.79
0.004,3,0,0,2006,1997,2495,0.219,12.29,2377.00,2.69
0.006,4,0,0,2007,1997,2496,0.219,12.29,2374.00,2.69
0.008,5,0,0,2006,1996,2496,0.212,12.29,2376.00,2.61
0.010,6,0,0,2005,1996,2497,0.212,12.28,2373.00,2.60
0.012,7,0,0,2006,1996,2496,0.205,12.28,2374.00,2.52
0.014,8,0,0,2006,1997,2496,0.212,12.28,2374.00,2.60
0.016,9,0,0,2006,1997,2495,0.212,12.29,2374.00,2.61
0.018,10,0,0,2006,1997,2497,0.212,12.28,2373.00,2.60
0.020,11,0,0,2005,1996,2496,0.197,12.28,2373.00,2.42
0.022,12,0,0,2006,1996,2496,0.205,12.28,2374.00,2.52
0.024,13,0,0,2006,1996,2497,0.212,12.28,2373.00,2.60
0.026,14,0,0,2006,1996,2496,0.212,12.28,2374.00,2.60
0.028,15,0,0,2005,1995,2495,0.205,12.28,2376.00,2.52
0.030,16,0,0,2006,1997,2495,0.212,12.28,2376.00,2.60
0.032,17,0,0,2007,1998,2495,0.219,12.28,2376.00,2.69
0.034,18,0,0,2005,1997,2495,0.212,12.28,2376.00,2.60
0.036,19,0,0,2006,1996,2496,0.212,12.28,2374.00,2.60
0.038,20,0,0,2007,1997,2496,0.205,12.28,2376.00,2.52
0.040,21,0,0,2008,1997,2496,0.212,12.28,2374.00,2.60
0.042,22,0,0,2007,1996,2495,0.212,12.28,2376.00,2.60
0.044,23,0,0,2008,1997,2494,0.219,12.28,2376.00,2.69
0.046,24,0,0,2006,1997,2495,0.219,12.28,2376.00,2.69
0.048,25,0,0,2006,1996,2496,0.219,12.28,2376.00,2.69
0.050,26,0,0,2007,1997,2495,0.219,12.30,2377.00,2.69
0.052,27,0,0,2006,1997,2495,0.219,12.29,2374.00,2.69
0.054,28,0,0,2006,1996,2495,0.227,12.29,2376.00,2.79
0.056,29,0,0,2006,1996,2495,0.219,12.29,2376.00,2.69
0.058,30,0,0,2006,1997,2495,0.227,12.29,2376.00,2.79
0.060,31,0,0,2006,1997,2495,0.227,12.28,2376.00,2.79
0.062,32,0,0,2006,1997,2495,0.212,12.28,2376.00,2.60
0.064,33,0,0,2006,1996,2496,0.219,12.28,2376.00,2.69
0.066,34,0,0,2007,1997,2494,0.227,12.30,2376.00,2.79
0.068,35,0,0,2007,1998,2495,0.227,12.29,2376.00,2.79
0.070,36,0,0,2006,1996,2495,0.227,12.29,2376.00,2.79
0.072,37,0,0,2006,1996,2496,0.227,12.29,2374.00,2.79
0.074,38,0,0,2006,1997,2495,0.227,12.29,2376.00,2.79
0.076,39,0,0,2006,1996,2495,0.227,12.28,2374.00,2.79
0.078,40,0,0,2006,1997,2495,0.219,12.28,2376.00,2.69
0.080,41,0,0,2006,1997,2495,0.219,12.29,2376.00,2.69
0.082,42,0,0,2006,1997,2495,0.219,12.29,2376.00,2.69
0.084,43,0,0,2006,1996,2496,0.212,12.28,2374.00,2.60
0.086,44,0,0,2006,1996,2496,0.212,12.28,2373.00,2.60
0.088,45,0,0,2006,1995,2496,0.212,12.28,2373.00,2.60
0.090,46,0,0,2006,1997,2495,0.205,12.28,2374.00,2.52
0.092,47,0,0,2006,1996,2496,0.212,12.28,2373.00,2.60
0.094,48,0,0,2005,1996,2496,0.205,12.27,2374.00,2.51
0.096,49,0,0,2006,1997,2495,0.219,12.28,2374.00,2.69
0.098,50,0,0,2007,1996,2496,0.219,12.28,2374.00,2.69
0.100,51,0,0,2007,1998,2496,0.219,12.29,2374.00,2.69
0.102,52,0,0,2007,1997,2495,0.219,12.28,2376.00,2.69
0.104,53,0,0,2007,1998,2498,0.205,12.28,2371.00,2.52
0.106,54,0,0,2007,1997,2494,0.219,12.29,2377.00,2.69
0.108,55,0,0,2007,1997,2495,0.219,12.29,2377.00,2.69
0.110,56,0,0,2007,1997,2495,0.212,12.28,2377.00,2.60
0.112,57,0,0,2006,1996,2496,0.212,12.29,2374.00,2.61
0.114,58,0,0,2007,1997,2495,0.212,12.28,2376.00,2.60
0.116,59,0,0,2007,1998,2494,0.219,12.29,2376.00,2.69
0.118,60,0,0,2007,1997,2495,0.227,12.29,2377.00,2.79
0.120,61,0,1,2005,1996,2496,0.219,12.29,2376.00,2.69
0.122,62,0,1,2007,1997,2496,0.219,12.29,2374.00,2.69
0.124,63,0,1,2007,1997,2495,0.219,12.29,2376.00,2.69
0.126,64,0,1,2006,1996,2495,0.212,12.28,2376.00,2.60
0.128,65,0,1,2006,1996,2495,0.212,12.29,2376.00,2.61
0.130,66,0,1,2006,1996,2495,0.219,12.28,2376.00,2.69
0.132,67,0,1,2008,1998,2495,0.212,12.28,2376.00,2.60
0.134,68,0,1,2006,1997,2495,0.212,12.28,2376.00,2.60
0.136,69,0,1,2007,1997,2496,0.219,12.28,2374.00,2.69
0.138,70,0,1,2008,1998,2495,0.212,12.28,2377.00,2.60
0.140,71,0,1,2007,1996,2496,0.219,12.28,2374.00,2.69
0.142,72,0,1,2007,1996,2495,0.219,12.28,2377.00,2.69
0.144,73,0,1,2006,1997,2496,0.219,12.28,2376.00,2.69
0.146,74,0,1,2008,1998,2495,0.227,12.29,2377.00,2.79
0.148,75,0,1,2007,1998,2495,0.227,12.30,2376.00,2.79
0.150,76,0,1,2006,1996,2496,0.212,12.28,2376.00,2.60
0.152,77,0,1,2006,1996,2497,0.219,12.30,2373.00,2.69
0.154,78,0,1,2007,1997,2495,0.227,12.29,2376.00,2.79
0.156,79,0,1,2006,1996,2496,0.219,12.28,2374.00,2.69
0.158,80,0,1,2007,1998,2495,0.227,12.29,2376.00,2.79
0.160,81,0,1,2006,1997,2496,0.219,12.29,2376.00,2.69
0.162,82,0,1,2006,1996,2496,0.212,12.28,2374.00,2.60
0.164,83,0,1,2006,1997,2496,0.219,12.28,2374.00,2.69
0.166,84,0,1,2006,1996,2496,0.212,12.28,2374.00,2.60
