Time(s),Index,RPM,Throttle(%),AccelX,AccelY,AccelZ,Current(A),Voltage(V),Thrust(N),Power(W)
0.000,1,0,0,1983,2023,2493,0.175,15.25,215.00,2.67
0.002,2,0,0,1983,2024,2492,0.175,15.26,217.00,2.67
0.004,3,0,0,1984,2024,2493,0.175,15.26,214.00,2.67
0.006,4,0,0,1984,2025,2492,0.168,15.26,217.00,2.56
0.008,5,0,0,1984,2025,2491,0.175,15.26,217.00,2.67
0.010,6,0,0,1984,2025,2492,0.175,15.26,217.00,2.67
0.012,7,0,0,1985,2025,2491,0.175,15.27,217.00,2.67
0.014,8,0,0,1985,2025,2491,0.183,15.26,217.00,2.79
0.016,9,0,0,1986,2026,2491,0.190,15.27,217.00,2.90
0.018,10,0,0,1984,2025,2492,0.190,15.27,215.00,2.90
0.020,11,0,0,1984,2023,2491,0.175,15.26,215.00,2.67
0.022,12,0,0,1986,2026,2490,0.190,15.28,218.00,2.90
0.024,13,0,0,1984,2025,2491,0.168,15.26,215.00,2.56
0.026,14,0,0,1985,2025,2491,0.168,15.26,215.00,2.56
0.028,15,0,0,1984,2025,2491,0.175,15.26,217.00,2.67
0.030,16,0,0,1985,2025,2492,0.168,15.26,215.00,2.56
0.032,17,0,0,1985,2025,2491,0.168,15.26,217.00,2.56
0.034,18,0,1,1984,2024,2492,0.175,15.25,217.00,2.67
0.036,19,0,1,1985,2025,2492,0.168,15.26,215.00,2.56
0.038,20,0,1,1984,2024,2490,0.183,15.27,217.00,2.79
0.040,21,0,1,1983,2025,2491,0.168,15.25,215.00,2.56
0.042,22,0,1,1983,2024,2491,0.168,15.25,215.00,2.56
0.044,23,0,1,1983,2023,2492,0.175,15.26,215.00,2.67
0.046,24,0,1,1984,2025,2491,0.175,15.26,217.00,2.67
0.048,25,0,1,1984,2025,2491,0.175,15.26,217.00,2.67
0.050,26,0,1,1985,2025,2492,0.183,15.26,215.00,2.79
0.052,27,0,1,1983,2024,2490,0.183,15.28,217.00,2.80
